               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/cat_mAP,     metrics/dog_mAP,  metrics/cat_mAP_50,  metrics/dog_mAP_50
                   0,            0.067967,            0.024741,            0.019192,             0.65794,             0.69678,              0.7252,              0.4194,            0.034809,            0.010218,           0.0063729,            0.070162,           0.0033153,           0.0033153,             0.51531,             0.32349,             0.81207,             0.63834
                   1,            0.047422,            0.016623,           0.0078035,             0.62008,              0.8132,              0.7783,              0.4655,            0.029426,           0.0075935,           0.0051091,            0.040096,           0.0065828,           0.0065828,             0.44663,             0.48438,             0.72546,             0.83113
